time,temperature,comfort_index
2025-09-30 07:00:00,33.8,83.1
2025-09-30 08:00:00,33.1,83.45
2025-09-30 09:00:00,32.4,83.8
2025-09-30 10:00:00,31.8,84.1
2025-09-30 11:00:00,31.3,84.35
2025-09-30 12:00:00,30.7,84.65
2025-09-30 13:00:00,29.8,85.1
2025-09-30 14:00:00,28.9,85.55
2025-09-30 15:00:00,28.1,85.95
2025-09-30 16:00:00,27.5,86.25
2025-09-30 17:00:00,27.1,86.45
2025-09-30 18:00:00,26.8,86.6
2025-09-30 19:00:00,26.6,86.7
2025-09-30 20:00:00,26.5,86.75
2025-09-30 21:00:00,26.4,86.8
2025-09-30 22:00:00,26.2,86.9
2025-09-30 23:00:00,25.9,87.05
